lnN lnDN
9.059168584174443595e+00 3.663561646129646299e+00
9.054621796976762838e+00 3.583518938456109915e+00
9.050406334059857727e+00 3.737669618283368411e+00
9.045465728785949011e+00 3.761200115693562385e+00
9.040382074165627557e+00 3.912023005428145961e+00
9.034438166984411822e+00 3.871201010907891149e+00
9.028698584086985335e+00 3.637586159726385659e+00
9.024131268455034771e+00 3.663561646129646299e+00
9.019421967956709807e+00 3.784189633918261020e+00
9.014082149443355618e+00 3.761200115693562385e+00
9.008835995765453575e+00 3.737669618283368411e+00
9.003685138166774848e+00 3.931825632724325725e+00
8.997394645638419064e+00 3.891820298110626464e+00
8.991313336173812232e+00 3.871201010907891149e+00
8.985320060649112150e+00 3.713572066704307950e+00
8.980172205725008183e+00 3.555348061489413514e+00
8.975756630519416746e+00 3.737669618283368411e+00
8.970432074329242056e+00 3.663561646129646299e+00
8.965462328515966917e+00 3.713572066704307950e+00
8.960210955576986436e+00 3.526360524616161563e+00
8.955835144218958987e+00 3.583518938456109915e+00
8.951180966457602750e+00 3.610917912644224348e+00
8.946374826141717307e+00 3.871201010907891149e+00
8.940105213128122230e+00 3.637586159726385659e+00
8.935113740791747361e+00 3.583518938456109915e+00
8.930361883909434084e+00 3.688879454113936252e+00
8.925055424124122894e+00 3.367295829986474143e+00
8.921190556249367631e+00 3.828641396489095072e+00
8.915029272359911161e+00 3.583518938456109915e+00
8.910180778013289782e+00 3.806662489770319624e+00
8.904086913938966674e+00 3.688879454113936252e+00
8.898638793680181180e+00 3.496507561466480229e+00
8.894121641382213284e+00 3.610917912644224348e+00
8.889032571874741606e+00 3.688879454113936252e+00
8.883501584323207467e+00 3.663561646129646299e+00
8.878079256126435226e+00 3.401197381662155461e+00
8.873888135154972545e+00 3.178053830347945752e+00
8.870522545103872503e+00 3.784189633918261020e+00
8.864322722511438712e+00 3.295836866004329124e+00
8.860499167616016081e+00 3.610917912644224348e+00
