lnN lnDN
9.506288188844996156e+00 4.343805421853684123e+00
9.500544261971473503e+00 4.369447852467021498e+00
9.494616651293130261e+00 4.356708826689591696e+00
9.488729397516371122e+00 4.219507705176106960e+00
9.483568487457812779e+00 4.143134726391532574e+00
9.478763169489152318e+00 4.276666119016055312e+00
9.473242953063740757e+00 4.204692619390965724e+00
9.468078568054892230e+00 4.174387269895636798e+00
9.463042725531936483e+00 4.143134726391532574e+00
9.458137510729049069e+00 4.317488113536310124e+00
9.452266422589760353e+00 4.276666119016055312e+00
9.446597562435774975e+00 4.110873864173311354e+00
9.441769502877164655e+00 4.025351690735149646e+00
9.437316569310569392e+00 4.204692619390965724e+00
9.431962766918454477e+00 4.094344562222100414e+00
9.427143867544193867e+00 4.158883083359671495e+00
9.421977983104190102e+00 4.317488113536310124e+00
9.415890054889343830e+00 4.276666119016055312e+00
9.410010567104750479e+00 4.060443010546419096e+00
9.405249044275608483e+00 4.060443010546419096e+00
